name,requests
US,34556
DZ,12264
FR,3445
SG,2041
DE,1986
CN,1828
NL,1675
PL,1191
CA,1103
IN,1073
JP,1062
AU,887
GB,844
VN,799
BR,677
KR,389
NZ,389
IE,366
ES,356
CH,341
HK,317
IL,305
BE,209
FI,187
IT,181
RO,164
EG,122
MX,100
PT,81
ID,81
SE,79
RU,75
SI,73
TR,58
ZA,51
MY,45
MA,38
LT,36
IQ,35
TH,34
LV,26
DK,25
AR,25
TW,17
KZ,16
SA,15
AT,14
BD,14
CO,13
HR,13
LY,12
JO,10
PH,10
UA,10
CL,7
CZ,7
HU,6
AO,5
GR,5
MR,5
AE,5
T1,4
TN,4
PK,3
SK,3
TT,3
CY,3
LK,3
XK,2
NO,2
RS,2
PE,2
EC,2
BY,2
BB,2
AM,2
BS,1
NI,1
EE,1
PY,1
KY,1
PA,1
SV,1
VE,1
SY,1
AL,1
JM,1
LB,1
TD,1